From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
9;128.382996;37.065324;c678600;MU;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;8.9;-111.90;64.84;1;1429.5;V;19439.07;28.38;0.88;208.38;-0.88;0.0;0.0;180.9;NLOS;20.00
9;128.382996;37.065324;c678600;MU;89.125094;30.00;0.00;;12;128.349533;37.096192;c975536;MU;30.00;0.00;;20.0;-100.78;15.10;1;1429.5;V;4526.95;319.48;1.61;139.48;-1.61;0.0;0.0;169.8;NLOS;20.00
9;128.382996;37.065324;c678600;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;37.3;-83.54;61.60;1;1429.5;V;18465.93;327.79;1.32;147.79;-1.32;0.0;0.0;152.5;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;2;128.127670;37.370837;c029292;MU;30.00;0.00;;7.5;-113.29;54.19;1;1429.5;V;16246.40;330.50;-0.27;150.50;0.27;0.0;0.0;182.3;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;3;128.391815;37.174028;c053737;MU;30.00;0.00;;26.6;-94.21;57.20;1;1429.5;V;17148.68;117.28;-0.67;297.28;0.67;0.0;0.0;163.2;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;4;128.205002;37.414623;c056727;MU;30.00;0.00;;3.7;-117.13;63.29;1;1429.5;V;18973.09;356.62;0.02;176.62;-0.02;0.0;0.0;186.1;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;11;128.155624;37.107163;c809427;MU;30.00;0.00;;0.9;-119.97;54.00;1;1429.5;V;16188.03;200.92;-0.61;20.92;0.61;0.0;0.0;189.0;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;27.7;-93.11;20.87;1;1429.5;V;6255.54;133.44;1.59;313.44;-1.59;0.0;0.0;162.1;NLOS;20.00
10;128.219284;37.243976;c739317;MU;89.125094;30.00;0.00;;14;128.385620;37.254932;MU01;MU;30.00;0.00;;29.9;-90.94;49.38;1;1429.5;V;14802.51;85.66;-0.18;265.66;0.18;0.0;0.0;159.9;NLOS;20.00
11;128.155624;37.107163;c809427;MU;89.125094;30.00;0.00;;5;127.959335;37.086753;c251512;MU;30.00;0.00;;2.4;-118.42;58.73;1;1429.5;V;17607.09;263.15;-0.72;83.15;0.72;0.0;0.0;187.4;NLOS;20.00
11;128.155624;37.107163;c809427;MU;89.125094;30.00;0.00;;8;128.096252;36.978111;c666600;MU;30.00;0.00;;18.9;-101.89;50.95;1;1429.5;V;15274.46;200.78;-0.45;20.78;0.45;0.0;0.0;170.9;NLOS;20.00
11;128.155624;37.107163;c809427;MU;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;0.8;-119.98;54.00;1;1429.5;V;16187.73;20.92;0.50;200.92;-0.50;0.0;0.0;189.0;NLOS;20.00
11;128.155624;37.107163;c809427;MU;89.125094;30.00;0.00;;12;128.349533;37.096192;c975536;MU;30.00;0.00;;1.8;-119.03;57.62;1;1429.5;V;17273.62;94.52;-0.01;274.52;0.01;0.0;0.0;188.0;NLOS;20.00
11;128.155624;37.107163;c809427;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;31.3;-89.51;49.89;1;1429.5;V;14955.82;43.65;1.22;223.65;-1.22;0.0;0.0;158.5;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;3;128.391815;37.174028;c053737;MU;30.00;0.00;;13.7;-107.10;31.42;1;1429.5;V;9420.54;23.79;-0.29;203.79;0.29;0.0;0.0;176.1;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;17.7;-103.09;61.05;1;1429.5;V;18302.41;41.72;0.55;221.72;-0.55;0.0;0.0;172.1;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;9;128.382996;37.065324;c678600;MU;30.00;0.00;;20.0;-100.83;15.10;1;1429.5;V;4527.02;139.48;-1.64;319.48;1.64;0.0;0.0;169.8;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;11;128.155624;37.107163;c809427;MU;30.00;0.00;;1.8;-119.03;57.62;1;1429.5;V;17273.65;274.52;-0.11;94.52;0.11;0.0;0.0;188.0;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;45.9;-74.95;46.71;1;1429.5;V;14001.99;330.47;1.25;150.47;-1.25;0.0;0.0;143.9;NLOS;20.00
12;128.349533;37.096192;c975536;MU;89.125094;30.00;0.00;;14;128.385620;37.254932;MU01;MU;30.00;0.00;;36.8;-84.00;59.74;1;1429.5;V;17910.62;10.68;0.28;190.68;-0.28;0.0;0.0;153.0;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;3;128.391815;37.174028;c053737;MU;30.00;0.00;;49.0;-71.81;37.63;1;1429.5;V;11282.64;108.40;-1.86;288.40;1.86;0.0;0.0;140.8;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;37.3;-83.54;63.84;1;1429.5;V;19137.86;85.56;-0.43;265.56;0.43;0.0;0.0;152.5;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;9;128.382996;37.065324;c678600;MU;30.00;0.00;;37.3;-83.54;61.60;1;1429.5;V;18466.90;147.79;-1.44;327.79;1.44;0.0;0.0;152.5;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;27.6;-93.19;20.87;1;1429.5;V;6255.67;313.44;-1.63;133.44;1.63;0.0;0.0;162.2;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;11;128.155624;37.107163;c809427;MU;30.00;0.00;;31.3;-89.51;49.89;1;1429.5;V;14956.40;223.65;-1.32;43.65;1.32;0.0;0.0;158.5;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;12;128.349533;37.096192;c975536;MU;30.00;0.00;;45.9;-74.95;46.71;1;1429.5;V;14002.51;150.47;-1.34;330.47;1.34;0.0;0.0;143.9;NLOS;20.00
13;128.270966;37.205498;CC;CC;89.125094;30.00;0.00;;14;128.385620;37.254932;MU01;MU;30.00;0.00;;39.0;-81.85;38.59;1;1429.5;V;11570.32;62.06;-1.08;242.06;1.08;0.0;0.0;150.9;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;3;128.391815;37.174028;c053737;MU;30.00;0.00;;52.1;-68.73;30.00;1;1429.5;V;8994.13;176.94;-0.98;356.94;0.98;0.0;0.0;137.7;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;6;128.485718;37.219928;c371403;MU;30.00;0.00;;39.3;-81.51;32.35;1;1429.5;V;9696.90;113.97;0.48;293.97;-0.48;0.0;0.0;150.5;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;7;128.470535;37.408347;c500586;MU;30.00;0.00;;-2.5;-123.32;62.02;1;1429.5;V;18593.67;24.19;0.42;204.19;-0.42;0.0;0.0;192.3;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;10;128.219284;37.243976;c739317;MU;30.00;0.00;;29.9;-90.94;49.38;1;1429.5;V;14802.45;265.66;0.08;85.66;-0.08;0.0;0.0;159.9;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;12;128.349533;37.096192;c975536;MU;30.00;0.00;;36.8;-84.00;59.74;1;1429.5;V;17910.84;190.68;-0.40;10.68;0.40;0.0;0.0;153.0;NLOS;20.00
14;128.385620;37.254932;MU01;MU;89.125094;30.00;0.00;;13;128.270966;37.205498;CC;CC;30.00;0.00;;39.0;-81.85;38.59;1;1429.5;V;11570.03;242.06;1.00;62.06;-1.00;0.0;0.0;150.9;NLOS;20.00
