Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBu),Rx threshold (dBu)
CC,CC,127.600119,37.559831,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU01,MU,127.659484,37.65858,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU02,MU,127.722438,37.610248,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU03,MU,127.569413,37.460321,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU04,MU,127.539532,37.485191,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU05,MU,127.508296,37.508955,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU06,MU,127.476119,37.53342,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU07,MU,127.535717,37.657108,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
MU08,MU,127.474613,37.607305,4DEC,30,800,5000,5000,0,20,10,10,0,0,,,40,40
