From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.040413;37.957494;2BigNode;대형노드;;89.125094;10.00;0.00;nan;2;127.119850;37.820271;4BigNode;대형노드;;10.00;0.00;nan;38.1;-82.70;55.88;1;1429.5;V;16752.56;155.30;0.02;335.30;-0.14;0.0;0.0;151.7;NLOS;20.00
1;127.040413;37.957494;2BigNode;대형노드;;89.125094;10.00;0.00;nan;3;127.028349;37.950286;NODE01;New;RE#;10.00;0.00;nan;91.8;-48.55;4.46;1;1429.5;V;1337.84;232.96;6.95;52.96;-6.96;0.0;0.0;98.1;LOS;20.00
2;127.119850;37.820271;4BigNode;대형노드;;89.125094;10.00;0.00;nan;1;127.040413;37.957494;2BigNode;대형노드;;10.00;0.00;nan;38.1;-82.70;55.88;1;1429.5;V;16752.61;335.30;-0.14;155.30;0.02;0.0;0.0;151.7;NLOS;20.00
2;127.119850;37.820271;4BigNode;대형노드;;89.125094;10.00;0.00;nan;3;127.028349;37.950286;NODE01;New;RE#;10.00;0.00;nan;51.0;-89.37;55.11;1;1429.5;V;16520.14;330.80;0.43;150.80;-0.54;0.0;0.0;138.9;NLOS;20.00
3;127.028349;37.950286;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.040413;37.957494;2BigNode;대형노드;;10.00;0.00;nan;91.8;-29.05;4.46;1;1429.5;V;1337.86;52.96;-6.96;232.96;6.95;0.0;0.0;98.1;LOS;20.00
3;127.028349;37.950286;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;127.119850;37.820271;4BigNode;대형노드;;10.00;0.00;nan;51.0;-69.87;55.11;1;1429.5;V;16520.41;150.80;-0.54;330.80;0.43;0.0;0.0;138.9;NLOS;20.00
