From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.040413;37.957494;sample16;대형노드;;89.125094;10.00;0.00;nan;2;126.978943;38.026059;sample4;중형부대;;10.00;0.00;nan;35.5;-85.31;31.16;1;1429.5;V;9342.51;324.68;-1.48;144.68;1.42;0.0;0.0;154.3;NLOS;20.00
1;127.040413;37.957494;sample16;대형노드;;89.125094;10.00;0.00;nan;3;127.046789;37.965777;NODE01;New;RE#;10.00;0.00;nan;47.3;-93.06;3.60;1;1429.5;V;1077.78;31.33;-2.13;211.33;2.12;0.0;0.0;142.6;NLOS;20.00
2;126.978943;38.026059;sample4;중형부대;;89.125094;10.00;0.00;nan;1;127.040413;37.957494;sample16;대형노드;;10.00;0.00;nan;35.5;-85.31;31.16;1;1429.5;V;9342.25;144.68;1.42;324.68;-1.48;0.0;0.0;154.3;NLOS;20.00
2;126.978943;38.026059;sample4;중형부대;;89.125094;10.00;0.00;nan;3;127.046789;37.965777;NODE01;New;RE#;10.00;0.00;nan;49.3;-91.06;29.92;1;1429.5;V;8969.29;138.35;1.22;318.35;-1.28;0.0;0.0;140.6;NLOS;20.00
3;127.046789;37.965777;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.040413;37.957494;sample16;대형노드;;10.00;0.00;nan;47.3;-73.56;3.60;1;1429.5;V;1077.77;211.33;2.12;31.33;-2.13;0.0;0.0;142.6;NLOS;20.00
3;127.046789;37.965777;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;126.978943;38.026059;sample4;중형부대;;10.00;0.00;nan;49.3;-71.56;29.92;1;1429.5;V;8969.50;318.35;-1.28;138.35;1.22;0.0;0.0;140.6;NLOS;20.00
