From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;65.3;-75.00;9.93;1;1429.5;V;2977.25;239.30;-0.01;59.30;0.01;0.0;0.0;105.0;LOS;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;59.2;-81.15;17.72;1;1429.5;V;5313.38;207.34;-0.02;27.34;0.02;0.0;0.0;111.2;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;49.4;-90.89;31.78;1;1429.5;V;9526.81;39.04;-0.03;219.04;0.03;0.0;0.0;120.9;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;49.1;-91.25;32.45;1;1429.5;V;9727.24;18.21;-0.03;198.21;0.03;0.0;0.0;121.2;SP;20.00
6;128.487701;37.635163;MU05;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;49.3;-91.01;32.00;1;1429.5;V;9592.83;110.25;-0.03;290.25;0.03;0.0;0.0;121.0;SP;20.00
7;128.458786;37.621331;MU06;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;65.3;-75.00;9.93;1;1429.5;V;2977.25;59.30;-0.01;239.30;0.01;0.0;0.0;105.0;LOS;20.00
7;128.458786;37.621331;MU06;MU;1.000000;30.00;0.00;;8;128.460358;37.592496;MU07;MU;30.00;0.00;;64.7;-75.63;10.68;1;1429.5;V;3202.25;177.85;-0.01;357.85;0.01;0.0;0.0;105.6;LOS;20.00
8;128.460358;37.592496;MU07;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;59.2;-81.15;17.72;1;1429.5;V;5313.38;27.34;-0.02;207.34;0.02;0.0;0.0;111.2;SP;20.00
8;128.460358;37.592496;MU07;MU;1.000000;30.00;0.00;;7;128.458786;37.621331;MU06;MU;30.00;0.00;;64.7;-75.63;10.68;1;1429.5;V;3202.25;357.85;-0.01;177.85;0.01;0.0;0.0;105.6;LOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;57.6;-82.68;19.46;1;1429.5;V;5833.22;163.06;-0.02;343.06;0.02;0.0;0.0;112.7;SP;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;2;128.650085;37.716153;MU01;MU;30.00;0.00;;51.4;-88.96;28.34;1;1429.5;V;8497.06;79.70;-0.03;259.70;0.03;0.0;0.0;119.0;SP;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;49.4;-90.89;31.78;1;1429.5;V;9526.81;219.04;-0.03;39.04;0.03;0.0;0.0;120.9;SP;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;64.0;-76.37;11.63;1;1429.5;V;3485.28;301.87;-0.01;121.87;0.01;0.0;0.0;106.4;LOS;20.00
9;128.555313;37.702134;MU08;MU;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;56.3;-84.06;21.15;1;1429.5;V;6340.73;330.52;-0.02;150.52;0.02;0.0;0.0;114.1;SP;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;50.8;-89.48;29.23;1;1429.5;V;8761.96;147.87;-0.03;327.87;0.03;0.0;0.0;119.5;SP;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;49.1;-91.25;32.45;1;1429.5;V;9727.24;198.21;-0.03;18.21;0.03;0.0;0.0;121.2;SP;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;64.0;-76.37;11.63;1;1429.5;V;3485.28;121.87;-0.01;301.87;0.01;0.0;0.0;106.4;LOS;20.00
10;128.521622;37.718586;MU09;MU;1.000000;30.00;0.00;;11;128.519592;37.751747;MU10;MU;30.00;0.00;;63.5;-76.85;12.29;1;1429.5;V;3683.48;357.51;-0.01;177.51;0.01;0.0;0.0;106.8;LOS;20.00
11;128.519592;37.751747;MU10;MU;1.000000;30.00;0.00;;9;128.555313;37.702134;MU08;MU;30.00;0.00;;56.3;-84.06;21.15;1;1429.5;V;6340.73;150.52;-0.02;330.52;0.02;0.0;0.0;114.1;SP;20.00
11;128.519592;37.751747;MU10;MU;1.000000;30.00;0.00;;10;128.521622;37.718586;MU09;MU;30.00;0.00;;63.5;-76.85;12.29;1;1429.5;V;3683.48;177.51;-0.01;357.51;0.01;0.0;0.0;106.8;LOS;20.00
12;128.589874;37.605636;MU11;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;59.2;-81.12;17.69;1;1429.5;V;5301.85;345.81;-0.02;165.81;0.02;0.0;0.0;111.1;SP;20.00
12;128.589874;37.605636;MU11;MU;1.000000;30.00;0.00;;6;128.487701;37.635163;MU05;MU;30.00;0.00;;49.3;-91.01;32.00;1;1429.5;V;9592.83;290.25;-0.03;110.25;0.03;0.0;0.0;121.0;SP;20.00
12;128.589874;37.605636;MU11;MU;1.000000;30.00;0.00;;13;128.599914;37.593409;MU12;MU;30.00;0.00;;70.6;-69.71;5.40;1;1429.5;V;1619.88;147.09;-0.01;327.09;0.01;0.0;0.0;99.7;LOS;20.00
13;128.599914;37.593409;MU12;MU;1.000000;30.00;0.00;;1;128.574875;37.651914;CC;CC;30.00;0.00;;55.0;-85.36;22.87;1;1429.5;V;6855.83;341.46;-0.02;161.46;0.02;0.0;0.0;115.4;SP;20.00
13;128.599914;37.593409;MU12;MU;1.000000;30.00;0.00;;12;128.589874;37.605636;MU11;MU;30.00;0.00;;70.6;-69.71;5.40;1;1429.5;V;1619.88;327.09;-0.01;147.09;0.01;0.0;0.0;99.7;LOS;20.00
