From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.040413;37.957494;BigNode2;대형노드;;89.125094;10.00;0.00;nan;2;126.978943;38.026059;MidCom4;중형부대;;10.00;0.00;nan;35.5;-85.31;31.16;1;1429.5;V;9342.51;324.68;-1.48;144.68;1.42;0.0;0.0;154.3;NLOS;20.00
1;127.040413;37.957494;BigNode2;대형노드;;89.125094;10.00;0.00;nan;3;127.027894;37.951007;NODE01;New;RE#;10.00;0.00;nan;60.1;-80.27;4.41;1;1429.5;V;1320.80;236.79;5.51;56.79;-5.52;0.0;0.0;129.8;NLOS;20.00
2;126.978943;38.026059;MidCom4;중형부대;;89.125094;10.00;0.00;nan;1;127.040413;37.957494;BigNode2;대형노드;;10.00;0.00;nan;35.5;-85.31;31.16;1;1429.5;V;9342.25;144.68;1.42;324.68;-1.48;0.0;0.0;154.3;NLOS;20.00
2;126.978943;38.026059;MidCom4;중형부대;;89.125094;10.00;0.00;nan;3;127.027894;37.951007;NODE01;New;RE#;10.00;0.00;nan;60.9;-79.44;31.32;1;1429.5;V;9390.08;152.72;2.18;332.72;-2.25;0.0;0.0;128.9;NLOS;20.00
3;127.027894;37.951007;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.040413;37.957494;BigNode2;대형노드;;10.00;0.00;nan;60.0;-60.86;4.41;1;1429.5;V;1320.82;56.79;-5.52;236.79;5.51;0.0;0.0;129.9;NLOS;20.00
3;127.027894;37.951007;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;126.978943;38.026059;MidCom4;중형부대;;10.00;0.00;nan;60.9;-59.94;31.32;1;1429.5;V;9390.48;332.72;-2.25;152.72;2.18;0.0;0.0;128.9;NLOS;20.00
