From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.094464;37.868272;sample12;대형노드;;89.125094;10.00;0.00;nan;2;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;47.9;-72.96;34.53;1;1429.5;V;10352.13;325.39;0.23;145.39;-0.30;0.0;0.0;142.0;NLOS;20.00
1;127.094464;37.868272;sample12;대형노드;;89.125094;10.00;0.00;nan;3;127.119850;37.820268;sample18;대형노드;;10.00;0.00;nan;79.1;-41.76;19.26;1;1429.5;V;5775.44;157.17;-1.87;337.17;1.84;0.0;0.0;110.8;LOS;20.00
2;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;1;127.094464;37.868272;sample12;대형노드;;10.00;0.00;nan;47.9;-72.96;34.53;1;1429.5;V;10352.19;145.39;-0.30;325.39;0.23;0.0;0.0;142.0;NLOS;20.00
2;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;3;127.119850;37.820268;sample18;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16048.13;149.60;-0.89;329.60;0.78;0.0;0.0;147.2;NLOS;20.00
3;127.119850;37.820268;sample18;대형노드;;89.125094;10.00;0.00;nan;1;127.094464;37.868272;sample12;대형노드;;10.00;0.00;nan;79.1;-41.76;19.26;1;1429.5;V;5775.31;337.17;1.84;157.17;-1.87;0.0;0.0;110.8;LOS;20.00
3;127.119850;37.820268;sample18;대형노드;;89.125094;10.00;0.00;nan;2;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16047.69;329.60;0.78;149.60;-0.89;0.0;0.0;147.2;NLOS;20.00
