From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.040413;37.957494;sample16;대형노드;;89.125094;10.00;0.00;nan;2;127.119850;37.820271;sample18;대형노드;;10.00;0.00;nan;38.1;-82.70;55.88;1;1429.5;V;16752.56;155.30;0.02;335.30;-0.14;0.0;0.0;151.7;NLOS;20.00
1;127.040413;37.957494;sample16;대형노드;;89.125094;10.00;0.00;nan;3;127.028805;37.954431;NODE01;New;RE#;10.00;0.00;nan;45.5;-94.80;3.61;1;1429.5;V;1082.52;251.57;6.68;71.57;-6.69;0.0;0.0;144.3;NLOS;20.00
2;127.119850;37.820271;sample18;대형노드;;89.125094;10.00;0.00;nan;1;127.040413;37.957494;sample16;대형노드;;10.00;0.00;nan;38.1;-82.70;55.88;1;1429.5;V;16752.61;335.30;-0.14;155.30;0.02;0.0;0.0;151.7;NLOS;20.00
2;127.119850;37.820271;sample18;대형노드;;89.125094;10.00;0.00;nan;3;127.028805;37.954431;NODE01;New;RE#;10.00;0.00;nan;51.2;-89.10;56.39;1;1429.5;V;16903.91;331.68;0.29;151.68;-0.41;0.0;0.0;138.6;NLOS;20.00
3;127.028805;37.954431;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.040413;37.957494;sample16;대형노드;;10.00;0.00;nan;45.5;-75.29;3.61;1;1429.5;V;1082.54;71.57;-6.69;251.57;6.68;0.0;0.0;144.3;NLOS;20.00
3;127.028805;37.954431;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;127.119850;37.820271;sample18;대형노드;;10.00;0.00;nan;51.2;-69.60;56.39;1;1429.5;V;16904.12;151.68;-0.41;331.68;0.29;0.0;0.0;138.6;NLOS;20.00
