From Tx #;Long;Lat;Callsign;Address;NetID;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;NetID;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
1;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;2;127.119850;37.820267;sample18;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16048.13;149.60;-0.89;329.60;0.78;0.0;0.0;147.2;NLOS;20.00
1;127.027664;37.945065;sample16;대형노드;;89.125094;10.00;0.00;nan;3;127.028123;37.955332;NODE01;New;RE#;10.00;0.00;nan;93.1;-47.22;3.83;1;1429.5;V;1148.21;2.01;-6.56;182.01;6.55;0.0;0.0;96.7;LOS;20.00
2;127.119850;37.820267;sample18;대형노드;;89.125094;10.00;0.00;nan;1;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;42.7;-78.17;53.53;1;1429.5;V;16047.69;329.60;0.78;149.60;-0.89;0.0;0.0;147.2;NLOS;20.00
2;127.119850;37.820267;sample18;대형노드;;89.125094;10.00;0.00;nan;3;127.028123;37.955332;NODE01;New;RE#;10.00;0.00;nan;46.8;-93.56;56.77;1;1429.5;V;17020.41;331.66;0.29;151.66;-0.41;0.0;0.0;143.1;NLOS;20.00
3;127.028123;37.955332;NODE01;New;RE#;89.125094;10.00;0.00;nan;1;127.027664;37.945065;sample16;대형노드;;10.00;0.00;nan;93.1;-27.72;3.83;1;1429.5;V;1148.19;182.01;6.55;2.01;-6.56;0.0;0.0;96.7;LOS;20.00
3;127.028123;37.955332;NODE01;New;RE#;89.125094;10.00;0.00;nan;2;127.119850;37.820267;sample18;대형노드;;10.00;0.00;nan;46.9;-73.92;56.77;1;1429.5;V;17020.62;151.66;-0.41;331.66;0.29;0.0;0.0;142.9;NLOS;20.00
