From Tx #;Long;Lat;Callsign;Address;Rad. Power (W);Height (m);Azimuth (deg);Antenna;To Rx #;Long;Lat;Callsign;Address;Height (m);Azimuth (deg);Antenna;FSR dBuV/m;Pr dBm; ToA us;cx #;Frequency MHz;Polar;Distance m;Azimuth Tx->Rx (deg);Tilt Tx->Rx (deg);Azimuth Rx->Tx (deg);Tilt Rx->Tx (deg);Ant_Tx_atten (dB);Ant_Rx_atten (dB);Path loss (dB);Path;Resolution (m)
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;8;128.085648;37.514649;c468113;MU;30.00;0.00;;12.5;-108.29;59.43;1;1429.5;V;17815.29;84.07;0.06;264.07;-0.06;0.0;0.0;177.3;NLOS;20.00
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;10;127.920181;37.599727;c507106;MU;30.00;0.00;;27.2;-93.61;39.64;1;1429.5;V;11884.57;15.63;1.73;195.63;-1.73;0.0;0.0;162.6;NLOS;20.00
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;13;127.974724;37.381805;c647257;MU;30.00;0.00;;33.0;-87.83;49.93;1;1429.5;V;14969.06;148.77;-0.47;328.77;0.47;0.0;0.0;156.8;NLOS;20.00
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;14;127.829452;37.609948;c731109;MU;30.00;0.00;;18.1;-102.70;45.17;1;1429.5;V;13541.85;339.24;1.09;159.24;-1.09;0.0;0.0;171.7;NLOS;20.00
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;16;127.861694;37.414033;CC;CC;30.00;0.00;;11.6;-109.22;31.25;1;1429.5;V;9367.84;193.71;-0.82;13.71;0.82;0.0;0.0;178.2;NLOS;20.00
6;127.885498;37.496299;c348296;MU;89.125094;30.00;0.00;;17;127.795199;37.524308;NODE01;RE;30.00;0.00;;10.9;-129.45;28.56;1;1429.5;V;8563.15;291.95;1.40;111.95;-1.40;0.0;0.0;178.9;NLOS;20.00
7;127.760826;37.209023;c388491;MU;89.125094;30.00;0.00;;2;127.815529;37.344841;c075413;MU;30.00;0.00;;13.0;-107.82;52.78;1;1429.5;V;15824.08;18.57;0.03;198.57;-0.03;0.0;0.0;176.8;NLOS;20.00
7;127.760826;37.209023;c388491;MU;89.125094;30.00;0.00;;11;127.849388;37.218784;c518928;MU;30.00;0.00;;15.9;-104.90;26.49;1;1429.5;V;7942.84;82.91;1.33;262.91;-1.33;0.0;0.0;173.9;NLOS;20.00
8;128.085648;37.514649;c468113;MU;89.125094;30.00;0.00;;4;128.064728;37.405833;c151154;MU;30.00;0.00;;72.6;-48.27;40.79;1;1429.5;V;12229.56;189.32;2.09;9.32;-2.09;0.0;0.0;117.3;LOS;20.00
8;128.085648;37.514649;c468113;MU;89.125094;30.00;0.00;;6;127.885498;37.496299;c348296;MU;30.00;0.00;;12.5;-108.29;59.43;1;1429.5;V;17815.37;264.07;-0.18;84.07;0.18;0.0;0.0;177.3;NLOS;20.00
8;128.085648;37.514649;c468113;MU;89.125094;30.00;0.00;;9;128.140076;37.379800;c475962;MU;30.00;0.00;;9.2;-111.60;52.39;1;1429.5;V;15707.46;162.74;0.34;342.74;-0.34;0.0;0.0;180.6;NLOS;20.00
8;128.085648;37.514649;c468113;MU;89.125094;30.00;0.00;;10;127.920181;37.599727;c507106;MU;30.00;0.00;;21.6;-99.22;58.07;1;1429.5;V;17409.42;303.47;1.03;123.47;-1.03;0.0;0.0;168.2;NLOS;20.00
8;128.085648;37.514649;c468113;MU;89.125094;30.00;0.00;;13;127.974724;37.381805;c647257;MU;30.00;0.00;;34.0;-86.78;59.07;1;1429.5;V;17707.59;214.23;-0.54;34.23;0.54;0.0;0.0;155.8;NLOS;20.00
9;128.140076;37.379800;c475962;MU;89.125094;30.00;0.00;;4;128.064728;37.405833;c151154;MU;30.00;0.00;;13.3;-107.50;24.25;1;1429.5;V;7269.85;293.88;2.70;113.88;-2.70;0.0;0.0;176.5;NLOS;20.00
9;128.140076;37.379800;c475962;MU;89.125094;30.00;0.00;;8;128.085648;37.514649;c468113;MU;30.00;0.00;;9.2;-111.60;52.40;1;1429.5;V;15707.66;342.74;-0.45;162.74;0.45;0.0;0.0;180.6;NLOS;20.00
9;128.140076;37.379800;c475962;MU;89.125094;30.00;0.00;;12;128.076157;37.267337;c536883;MU;30.00;0.00;;11.5;-109.32;45.76;1;1429.5;V;13717.31;204.92;0.22;24.92;-0.22;0.0;0.0;178.3;NLOS;20.00
9;128.140076;37.379800;c475962;MU;89.125094;30.00;0.00;;13;127.974724;37.381805;c647257;MU;30.00;0.00;;5.7;-115.09;48.79;1;1429.5;V;14626.90;271.41;-1.05;91.41;1.05;0.0;0.0;184.1;NLOS;20.00
10;127.920181;37.599727;c507106;MU;89.125094;30.00;0.00;;3;127.825623;37.676426;c132767;MU;30.00;0.00;;30.6;-90.24;39.75;1;1429.5;V;11915.35;316.22;-1.65;136.22;1.65;0.0;0.0;159.2;NLOS;20.00
